fish,sex,familiarization,interval,block_of_minutes,time_in_central_corridor,preference_for_novel_object
male 13,M,3h,1gg,block 04,0,0.4
female 14,F,3h,1gg,block 04,0.166666667,0.66
male 14,M,3h,1gg,block 04,0.233333333,0.565217391
female 15,F,3h,1gg,block 04,0.133333333,0.519230769
male 15,M,3h,1gg,block 04,0.233333333,0.608695652
female 16,F,3h,1gg,block 04,0.116666667,0.754716981
male 16,M,3h,1gg,block 04,0.233333333,0.217391304
female 01,F,3h,6gg,block 05,0.166666667,0.44
male 01,M,3h,6gg,block 05,0.316666667,0.56097561
female 02,F,3h,6gg,block 05,0.316666667,0.463414634
male 02,M,3h,6gg,block 05,0.15,0.490196078
female 03,F,3h,6gg,block 05,0.316666667,0.707317073
male 03,M,3h,6gg,block 05,0.15,0.490196078
female 04,F,3h,6gg,block 05,0.266666667,0.386363636
male 04,M,3h,6gg,block 05,0.183333333,0.469387755
female 05,F,1h,6gg,block 05,0.3,0.547619048
male 05,M,1h,6gg,block 05,0.116666667,0.452830189
female 06,F,1h,6gg,block 05,0,1
male 06,M,1h,6gg,block 05,0.166666667,0.84
female 07,F,1h,6gg,block 05,0.116666667,0.471698113
male 07,M,1h,6gg,block 05,0.133333333,0.596153846
female 08,F,1h,6gg,block 05,0.1,0.462962963
male 08,M,1h,6gg,block 05,0.133333333,0.519230769
female 09,F,1h,1gg,block 05,0.2,0.479166667
male 09,M,1h,1gg,block 05,0.05,0.701754386
female 10,F,1h,1gg,block 05,0.183333333,0.551020408
male 10,M,1h,1gg,block 05,0.133333333,0.519230769
female 11,F,1h,1gg,block 05,0.133333333,0.884615385
male 11,M,1h,1gg,block 05,0.083333333,0.418181818
male 12,M,1h,1gg,block 05,0.1,0.5
female 13,F,3h,1gg,block 05,0.216666667,0.531914894
male 13,M,3h,1gg,block 05,0,0.45
female 14,F,3h,1gg,block 05,0.166666667,0.56
male 14,M,3h,1gg,block 05,0.133333333,0.461538462
female 15,F,3h,1gg,block 05,0.266666667,0.454545455
male 15,M,3h,1gg,block 05,0.2,0.4375
female 16,F,3h,1gg,block 05,0.183333333,0.530612245
male 16,M,3h,1gg,block 05,0.133333333,0.461538462
female 01,F,3h,6gg,block 06,0.1,0.5
male 01,M,3h,6gg,block 06,0.216666667,0.510638298
female 02,F,3h,6gg,block 06,0.3,0.5
male 02,M,3h,6gg,block 06,0.15,0.490196078
female 03,F,3h,6gg,block 06,0.166666667,0.48
male 03,M,3h,6gg,block 06,0.116666667,0.471698113
female 04,F,3h,6gg,block 06,0.283333333,0.395348837
male 04,M,3h,6gg,block 06,0.066666667,0.375
female 05,F,1h,6gg,block 06,0.2,0.541666667
male 05,M,1h,6gg,block 06,0.2,0.729166667
female 06,F,1h,6gg,block 06,0.433333333,0.529411765
male 06,M,1h,6gg,block 06,0.183333333,0.551020408
female 07,F,1h,6gg,block 06,0.233333333,0.47826087
male 07,M,1h,6gg,block 06,0.116666667,0.547169811
female 08,F,1h,6gg,block 06,0.1,0.407407407
male 08,M,1h,6gg,block 06,0.166666667,0.6
female 09,F,1h,1gg,block 06,0.4,0.722222222
male 09,M,1h,1gg,block 06,0.016666667,0.711864407
female 10,F,1h,1gg,block 06,0.316666667,0.634146341
male 10,M,1h,1gg,block 06,0.15,0.431372549
female 11,F,1h,1gg,block 06,0.1,0.851851852
male 11,M,1h,1gg,block 06,0.1,0.444444444
male 12,M,1h,1gg,block 06,0,0.5
female 13,F,3h,1gg,block 06,0.2,0.625
male 13,M,3h,1gg,block 06,0,0.45
female 14,F,3h,1gg,block 06,0.083333333,0.563636364
male 14,M,3h,1gg,block 06,0.183333333,0.244897959
female 15,F,3h,1gg,block 06,0.183333333,0.285714286
male 15,M,3h,1gg,block 06,0.116666667,0.547169811
female 16,F,3h,1gg,block 06,0.15,0.568627451
male 16,M,3h,1gg,block 06,0.133333333,0.538461538
